Atlas_Number,Entrances_Display_Name,Entrances_Number,Entrances_Type,Entrances_Position,Entrance_Summary,Entrances_Comments
2729,SC2729,1,Simple Gap,North east,null,null
2729,SC2729,2,Simple Gap,West,null,null
2730,SC2730,1,Simple Gap,North west,null,null
2731,SC2731,1,Simple Gap,South,in outermost rampart to approach inner entrance on the western flank,null
2734,SC2734,1,Simple Gap,South east,Through outer enclosure wall,null
2735,SC2735,1,Simple Gap,East,Inner wall,null
2735,SC2735,1,Simple Gap,East,Outer wall,null
2736,SC2736,1,Simple Gap,North,null,null
2737,SC2737,1,Simple Gap,West,null,null
2746,SC2746,1,Simple Gap,West,null,null
2747,SC2747,1,Simple Gap,South east,null,null
2748,SC2748,1,Simple Gap,South,null,null
2749,SC2749,1,Simple Gap,North west,null,null
2754,SC2754,1,Simple Gap,North west,null,null
2756,SC2756,1,Simple Gap,South east,null,null
2757,SC2757,1,Simple Gap,South east,null,null
2758,SC2758,1,Simple Gap,East,Outer defence,null
2759,SC2759,1,Simple Gap,East,null,null
2760,SC2760,1,Simple Gap,North east,null,null
2761,SC2761,1,Simple Gap,South east,null,null
2763,SC2763,1,Simple Gap,South,null,null
2766,SC2766,1,Simple Gap,North west,null,null
2767,SC2767,1,Simple Gap,West,null,null
2769,SC2769,1,Simple Gap,South west,Gap in the outcrops,null
2770,SC2770,1,Simple Gap,South west,Through outer defences,null
2772,SC2772,1,Simple Gap,South,null,null
2774,WA2774,1,Simple Gap,South west,null,null
2775,WA2775,1,In-turned,East,Possible entrance only.,null
2777,SC2777,1,Simple Gap,South west,In outer walls,null
2778,SC2778,1,Over-lapping,North east,"Outer wall, oblique approach exposing left side",null
2778,SC2778,2,Oblique,North east,In outer wall,null
2778,SC2778,2,Simple Gap,North east,Identified by Calder and Steer in the inner wall,null
2779,SC2779,1,Simple Gap,South,Approached by revetted trackway,null
2780,SC2780,1,Simple Gap,South,Through inner walls,null
2780,SC2780,2,Simple Gap,East,null,null
2780,SC2780,2,Hornwork,East,"Ambiguous depiction of entrance with hornworks (Nisbet 1994, 53, fig 2)",null
2781,SC2781,1,Simple Gap,South,null,null
2782,SC2782,1,Simple Gap,South,Access across a narrow neck,null
2784,SC2784,1,Simple Gap,South west,null,null
2785,SC2785,1,Simple Gap,South west,through outer bank,null
2786,SC2786,1,Blocked,North west,null,null
2786,SC2786,2,Simple Gap,North west,null,null
2786,SC2786,3,Simple Gap,South east,null,null
2786,SC2786,4,Other Forms,North west,Single through joint in the thickness of the wall,null
2786,SC2786,5,Other Forms,North west,Butt end to thick wall possibly indicating 4th entrance in this end,null
2787,SC2787,1,Simple Gap,South east,null,null
2787,SC2787,2,Simple Gap,North west,null,null
2787,SC2787,3,Simple Gap,North,null,null
2788,SC2788,1,Simple Gap,South,Upright slab is possibly a door-check,null
2792,SC2792,1,Simple Gap,North east,null,null
2792,SC2792,2,Simple Gap,South,null,null
2793,SC2793,1,Simple Gap,East,Expanded wall terminals,null
2795,SC2795,1,Simple Gap,South west,null,null
2795,SC2795,2,Simple Gap,West,null,null
2796,SC2796,1,Simple Gap,East,null,null
2797,SC2797,1,Simple Gap,North west,null,null
2798,SC2798,1,Simple Gap,South,null,null
2799,WA2799,1,Simple Gap,South,Possiblle site and type only.,null
2803,SC2803,1,Simple Gap,South east,null,null
2804,SC2804,1,Simple Gap,South east,null,null
2806,SC2806,1,Simple Gap,South,null,null
2807,SC2807,1,Simple Gap,North west,null,null
2810,SC2810,1,Simple Gap,South west,null,null
2814,SC2814,1,Simple Gap,South west,null,null
2817,SC2817,1,Simple Gap,North east,null,null
2818,SC2818,1,Simple Gap,West,null,null
2820,SC2820,1,Simple Gap,South west,Door-checks,null
2822,SC2822,1,Simple Gap,North east,null,null
2823,SC2823,1,Simple Gap,North west,null,null
2826,SC2826,1,Simple Gap,South west,null,null
2827,SC2827,1,Uncertain,South west,null,null
2828,null,1,Simple Gap,null,null,null
2830,SC2830,1,Simple Gap,North,Framed by massive orthostats,null
2830,SC2830,2,Simple Gap,South,null,null
2831,SC2831,1,Simple Gap,South,null,null
2832,SC2832,1,Other Forms,North,Door-checks and bar-hole,null
2833,SC2833,1,Simple Gap,South,null,null
2834,SC2834,1,Simple Gap,South,null,null
2837,SC2837,1,Simple Gap,South east,Through outer wall,null
2838,SC2838,1,Simple Gap,South,Misalignment of particularly the outer ditch,null
2838,SC2838,2,Simple Gap,South east,Causeway,null
2840,SC2840,1,Simple Gap,South west,null,null
2844,SC2844,1,Simple Gap,North west,null,null
2846,SC2846,1,Passage-way/Corridor,South east,Possibly a later configuration,null
2850,EN2850,1,Simple Gap,South east,Inner rampart,null
2850,EN2850,1,Simple Gap,South east,Middle rampart,null
2851,EN2851,1,Simple Gap,North,Inner rampart (assumed from cropmarked ditches),null
2851,EN2851,1,Simple Gap,North,Outer rampart (assumed from cropmarked ditches),null
2853,EN2853,1,Simple Gap,East,null,null
2854,EN2854,1,In-turned,South west,null,null
2855,EN2855,1,Simple Gap,North,Inner rampart,null
2856,EN2856,1,Other Forms,South east,"Rampart destroyed, identified as a causeway across the middle ditch",null
2856,EN2856,1,Other Forms,South east,"Rampart destroyed, identified as a causeway across the outer ditch",null
2857,EN2857,1,Simple Gap,East,null,null
2858,EN2858,1,Simple Gap,East,null,null
2860,SC2860,1,Passage-way/Corridor,East,null,null
2861,SC2861,1,Simple Gap,North,Staggered ditch terminals to either side of the causeway,null
2863,EN2863,1,Simple Gap,East,null,null
2864,SC2864,1,Simple Gap,East,null,null
2865,SC2865,1,Simple Gap,South west,Through middle wall (inner fort defence),null
2865,SC2865,1,Simple Gap,South,Outermost wall,null
2866,SC2866,1,Simple Gap,North west,null,null
2867,SC2867,1,Simple Gap,North west,null,null
2868,SC2868,1,Simple Gap,North east,null,null
2869,SC2869,1,Simple Gap,North east,Through all ramparts,null
2870,SC2870,1,Simple Gap,West,null,null
2871,SC2871,1,Simple Gap,South east,null,null
2872,SC2872,1,Simple Gap,West,null,null
2873,SC2873,1,Simple Gap,South,null,null
2874,SC2874,1,Simple Gap,South,null,null
2875,SC2875,1,Simple Gap,North east,In outer rampart and ditch,null
2876,SC2876,1,Simple Gap,South east,null,null
2878,SC2878,1,Simple Gap,South east,null,null
2881,SC2881,1,Uncertain,South,null,null
2883,SC2883,1,Simple Gap,South west,null,null
2884,SC2884,1,Passage-way/Corridor,South east,Outer two ditches unite in a flanking terminal,null
2886,SC2886,1,Simple Gap,East,In summit enclosure,null
2886,SC2886,2,Simple Gap,East,In outwork,null
2887,SC2887,1,Simple Gap,South west,null,null
2889,SC2889,1,Simple Gap,West,null,null
2890,SC2890,1,Simple Gap,South,null,null
2892,SC2892,1,Simple Gap,East,Slight stagger in the terminals to either side of the gap,null
2893,SC2893,1,Simple Gap,South east,null,null
2894,SC2894,1,Simple Gap,South west,In both inner and outer walls,null
2895,SC2895,1,Simple Gap,South west,Along the S margin of the summit,null
2895,SC2895,2,Simple Gap,North west,Possible second entrance identified by the OS on the NW margin of the summit,null
2896,SC2896,1,Simple Gap,North east,"In inner wall and variously interpreted as an entrance (Headland 2011) or a later excavation feature (RCAHMS 2014, 8)",null
2896,SC2896,2,Blocked,East,"The RCAHMS and Headland plans both show, but don't appear to comment upon, a probable blocked entrance at the angle in the line of the outer rampart on the E.",null
2896,SC2896,2,Simple Gap,East,null,null
2898,SC2898,1,Simple Gap,North east,null,null
2899,SC2899,1,Simple Gap,West,"Through inner wall, only N side built",null
2899,SC2899,1,Simple Gap,West,Gap in outer rampart,null
2899,SC2899,2,Simple Gap,North east,"Through inner wall, but not built",null
2899,SC2899,2,Simple Gap,North east,Gap in outer rampart,null
2900,SC2900,1,Simple Gap,East,Possibly forming a shallow re-entrant in the line of the wall,null
2900,SC2900,2,Simple Gap,West,Outer wall,null
2901,SC2901,1,Simple Gap,North east,null,null
2902,SC2902,1,Simple Gap,South,null,null
2903,SC2903,1,Simple Gap,South west,Hazy definition in the cropmarks and possible that the ditches unite and return to either side,null
2904,SC2904,1,Simple Gap,South east,null,null
2905,SC2905,1,Simple Gap,South west,through SW rampart,null
2905,null,2,Simple Gap,null,Through NE rampart and direction it faces is uncertain,null
2907,SC2907,1,Simple Gap,North east,Inner wall,null
2907,SC2907,1,Passage-way/Corridor,North east,Appears as a long passageway flanked on the N by what is either an or one side of a rectangular enclosure,null
2907,SC2907,2,Simple Gap,South west,"Possible overlap at the SW end of the outermost rampart, but equally may be the result of degradation",null
2908,SC2908,1,Simple Gap,South west,null,null
2909,SC2909,1,Simple Gap,North east,Outer ditch,null
2909,SC2909,1,Simple Gap,East,Inner ditch. Oblique approach exposing right side,null
2909,SC2909,1,Oblique,East,Oblique approach exposing right side,null
2910,SC2910,1,Over-lapping,North,"Gap in outer rampart with overlapping terminals, but uncertain if this is an entrance",null
2912,SC2912,1,Over-lapping,East,"Possible overlapping terminals, but heavily degraded and uncertain",null
2912,SC2912,1,Simple Gap,East,Entrance to inner enclosures around the round-house,null
2913,SC2913,1,Outworks,South west,An arc of wall outside the outer entrance appears to be additional protection,null
2913,SC2913,1,Simple Gap,South west,Through inner rampart,null
2914,SC2914,1,Simple Gap,West,null,null
2915,SC2915,1,Simple Gap,South west,Most of basal course survives on E side and two stones on W side,null
2916,SC2916,1,Simple Gap,South,Faces S but is at the SW end of this odd-shaped fort,null
2917,SC2917,1,Simple Gap,South,null,null
2918,SC2918,1,Simple Gap,South,null,null
2920,SC2920,1,Simple Gap,South east,null,null
2921,SC2921,1,Simple Gap,South west,Possible outwork,null
2922,SC2922,1,Simple Gap,West,Through multiple lines,null
2925,SC2925,1,Simple Gap,South east,Summit enclosure,null
2925,SC2925,2,Oblique,South east,"Obliquely through the outer defences, but not aligned on the entrance into the summit enclosure",null
2926,EN2926,1,Simple Gap,West,null,null
2928,EN2928,1,Simple Gap,East,null,null
2930,EN2930,1,Simple Gap,South,Middle rampart,null
2930,EN2930,1,Simple Gap,South,Outer rampart,null
2930,EN2930,2,Oblique,North west,Inner rampart,null
2930,EN2930,2,Oblique,North west,Middle rampart,null
2930,EN2930,2,Oblique,North west,Outer rampart,null
2930,EN2930,2,Hornwork,North west,Outer rampart,null
2933,SC2933,1,Simple Gap,East,Through second palisade,null
2933,SC2933,2,Simple Gap,South west,Through second palisade,null
2934,SC2934,1,Simple Gap,South,"Along margin of the promontory, but possibly an edge effect in the crop",null
2937,SC2937,1,Simple Gap,East,null,null
2937,SC2937,2,Simple Gap,West,null,null
2938,SC2938,1,Simple Gap,East,null,null
2938,SC2938,2,Simple Gap,West,null,null
2938,SC2938,3,Simple Gap,North west,null,null
2939,SC2939,1,Simple Gap,North east,null,null
2940,EN2940,1,Simple Gap,South west,null,null
2941,SC2941,1,Other Forms,East,"Apparently elaborate, but no published detail",null
2942,WA2942,1,Simple Gap,North,null,null
2948,SC2948,1,Simple Gap,East,null,null
2953,WA2953,1,Simple Gap,North east,null,null
2953,WA2953,2,Simple Gap,South west,null,null
2954,WA2954,1,In-turned,West,Possible outworks.,null
2954,WA2954,1,Outworks,West,Possible outworks.,null
2955,SC2955,1,Simple Gap,East,null,null
2956,SC2956,1,Simple Gap,South east,null,null
2957,SC2957,1,Simple Gap,South,Through inner rampart,null
2957,SC2957,2,Simple Gap,South,Through outer rampart,null
2958,SC2958,1,Simple Gap,South west,Causeway through the unfinished ditch and rampart,null
2958,SC2958,1,Simple Gap,South west,in the outer palisade,null
2959,SC2959,1,Simple Gap,East,Through the inner of the two outer ramparts,null
2959,SC2959,2,Simple Gap,West,Through the inner of the two outer ramparts,null
2959,SC2959,2,Simple Gap,West,Through the outer of the two outer ramparts,null
2961,SC2961,1,Simple Gap,East,heavily reconstructed through outer wall,null
2961,SC2961,2,Simple Gap,South east,Through earlier outer wall,null
2961,SC2961,3,Simple Gap,South west,Through both walls forming the W sector,null
2962,SC2962,1,Simple Gap,South,null,null
2963,SC2963,1,Simple Gap,North,Approached by hollow trackway,null
2964,SC2964,1,Passage-way/Corridor,North,Through all ramparts,null
2964,SC2964,1,Oblique,North,Slightly staggered gaps creating oblique approach exposing the left side,null
2964,SC2964,2,Passage-way/Corridor,East,Through all ramparts,null
2964,SC2964,3,Passage-way/Corridor,South,Through all ramparts,null
2964,SC2964,4,Passage-way/Corridor,South west,Through all ramparts,null
2964,SC2964,4,Oblique,South west,Staggered gaps creating oblique approach exposing the left side,null
2964,SC2964,5,Passage-way/Corridor,West,Through all ramparts,null
2964,SC2964,5,Oblique,West,Staggered gaps creating oblique approach exposing the left side,null
2965,SC2965,1,Simple Gap,North,null,null
2965,SC2965,2,Simple Gap,South,null,null
2965,SC2965,3,Simple Gap,West,null,null
2966,SC2966,1,Simple Gap,South,The ditch terminals turn very slightly inwards to either side of the gap.,null
2968,EN2968,1,In-turned,North west,null,null
2968,EN2968,2,In-turned,South west,null,null
2968,EN2968,3,Simple Gap,North west,Coincides with the spring,null
2969,EN2969,1,In-turned,East,null,null
2970,EN2970,1,Passage-way/Corridor,West,Outer and middle ramparts N of entrance,null
2970,EN2970,1,Simple Gap,West,inner rampart,null
2970,EN2970,1,Passage-way/Corridor,West,Inner and middle ramparts S of entrance,null
2970,EN2970,1,Simple Gap,West,Outer rampart,null
2970,EN2970,2,Simple Gap,North west,null,null
2971,EN2971,1,Hollow Way,East,Outer bank,null
2971,EN2971,2,Simple Gap,South,Outer bank,null
2973,EN2973,1,Simple Gap,South,null,null
2977,EN2977,1,Simple Gap,East,Very slightly incurving,null
2977,EN2977,2,Simple Gap,South west,null,null
2979,EN2979,1,Other Forms,North east,Area of secondary terracing,null
2981,SC2981,1,Simple Gap,North,Possibly a later break in the inner rampart,null
2981,SC2981,2,Passage-way/Corridor,East,Stone-lined through the outer defences,null
2981,SC2981,3,Passage-way/Corridor,South,"Stone-lined through the outer defences, and blocked by the inner",null
2981,SC2981,3,Blocked,South,By construction of inner rampart,null
2981,SC2981,4,Passage-way/Corridor,West,"Heavily robbed, but with surviving stones marking one side",null
2982,SC2982,1,Simple Gap,West,Substantial timber structures,null
2987,SC2987,1,Simple Gap,West,Pierces all ramparts and ditches,null
2992,EN2992,1,Simple Gap,North,Causeway across ditch,null
2992,EN2992,2,Passage-way/Corridor,South east,Funnel-shaped,null
2993,SC2993,1,Simple Gap,North,null,null
2993,SC2993,2,Simple Gap,South east,null,null
2994,SC2994,1,Simple Gap,East,Through both outer defences and flanked on one side by a wing wall running up to the innermost,null
2994,SC2994,2,Simple Gap,West,Through outer defences,null
2997,EN2997,1,Other Forms,East,Antennae ditches,null
2999,EN2999,1,Out-turned,North west,"With possible titulum, suggesting this a Roman feature",null
2999,EN2999,2,Simple Gap,North west,null,null
3000,EN3000,1,In-turned,East,null,null
3001,EN3001,1,Simple Gap,South,null,null
3001,EN3001,2,Simple Gap,East,null,null
3002,EN3002,1,Simple Gap,North west,null,null
3002,EN3002,2,Simple Gap,South east,null,null
3004,EN3004,1,Simple Gap,North,null,null
3006,EN3006,1,Simple Gap,South west,null,null
3009,SC3009,1,Simple Gap,East,Piercing all ramparts,null
3011,SC3011,1,Simple Gap,North east,Terminals of the ditches turn in slightly.,null
3012,SC3012,1,Simple Gap,East,null,null
3013,SC3013,1,Simple Gap,North east,Sector with an additional ditch; pierces the whole belt of defences,null
3013,SC3013,2,Simple Gap,East,Possible gap in the 2nd ditch; if so blocked by the line of the inner ditch,null
3013,SC3013,3,Simple Gap,West,Hazy impression of a gap in illdefined cropmarks,null
3014,SC3014,1,Simple Gap,South east,null,null
3014,SC3014,2,Simple Gap,West,Only possible,null
3015,SC3015,1,Simple Gap,North,null,null
3016,SC3016,1,Simple Gap,South east,null,null
3017,SC3017,1,Simple Gap,East,null,null
3017,SC3017,2,Simple Gap,South west,null,null
3018,SC3018,1,Simple Gap,South,Possible gap in ill-defined cropmarks,null
3020,EN3020,1,Simple Gap,South east,null,null
3021,EN3021,1,Simple Gap,East,null,null
3021,EN3021,2,Other Forms,North west,null,null
3022,SC3022,1,Simple Gap,North,Inner enclosure,null
3023,EN3023,1,Simple Gap,East,null,null
3023,EN3023,1,Simple Gap,East,null,null
3024,EN3024,1,Out-turned,South east,null,null
3025,EN3025,1,Blocked,South east,null,null
3025,EN3025,2,Simple Gap,South west,null,null
3026,null,1,Simple Gap,null,null,null
3031,EN3031,1,Simple Gap,North east,null,null
3032,EN3032,1,Simple Gap,North east,null,null
3032,EN3032,2,Blocked,West,null,null
3032,EN3032,2,Simple Gap,West,null,null
3032,EN3032,3,Other Forms,South west,null,null
3033,SC3033,1,Simple Gap,East,null,null
3033,SC3033,2,Oblique,West,Approached by track obliquely up the slope below the rampart,null
3033,SC3033,2,Simple Gap,West,null,null
3034,SC3034,1,Simple Gap,East,Cut by an oblique trackway and may be later,null
3034,SC3034,1,Hollow Way,East,Cuts the rampart and may be altogether later,null
3034,SC3034,2,Simple Gap,North west,with a hollow track leading into the interior,null
3035,SC3035,1,Simple Gap,North,Taken by the later track through a natural hollow traversed by the earliest rampart,null
3035,SC3035,1,Simple Gap,North,Taken by the later track through a natural hollow traversed by the second phase rampart,null
3035,SC3035,2,Simple Gap,South,Taken by a later track through a natural hollow traversed by the defences,null
3037,SC3037,1,Simple Gap,North,Sinuous track lined with stones. Oblique approach exposing right side,null
3037,SC3037,1,Oblique,North,Oblique approach exposing right side,null
3037,SC3037,2,Simple Gap,East,Track. Oblique approach exposing right side,null
3037,SC3037,2,Oblique,East,Oblique approach exposing right side,null
3037,SC3037,3,Simple Gap,South,Track.,null
3037,SC3037,3,Oblique,South,Oblique approach exposing right side,null
3037,SC3037,4,Over-lapping,West,Track. Staggered terminals to either side of the gap,null
3037,SC3037,4,Oblique,West,Oblique approach exposing left side,null
3038,SC3038,1,Oblique,North,Oblique approach exposing right side,null
3038,SC3038,2,Oblique,South,Track. Oblique approach through all ramparts exposing left side,null
3038,SC3038,2,Simple Gap,South,Through single inner rampart,null
3038,SC3038,3,Blocked,West,Simple gap blocked by outer ramparts,null
3038,SC3038,3,Simple Gap,West,Through inner ramparts,null
3039,SC3039,1,Simple Gap,East,null,null
3040,SC3040,1,Simple Gap,East,null,null
3040,SC3040,2,Simple Gap,North west,Reduction in the number of ditches to the S,null
3041,SC3041,1,Simple Gap,South east,null,null
3041,SC3041,2,Simple Gap,South,null,null
3044,SC3044,1,Simple Gap,West,Central causeway across the ditch,null
3047,SC3047,1,Hollow Way,West,Climbs the slope below the W terminal of the defences,null
3049,SC3049,1,Simple Gap,South west,null,null
3050,SC3050,1,Simple Gap,North west,null,null
3051,SC3051,1,Simple Gap,South east,null,null
3051,SC3051,2,Simple Gap,North west,With a track apparently piercing both ramparts,null
3052,IR3052,1,Simple Gap,North east,null,null
3052,IR3052,2,Simple Gap,South west,null,null
3053,IR3053,1,Simple Gap,North east,null,null
3055,IR3055,1,Simple Gap,North,null,null
3056,IR3056,1,Simple Gap,South west,null,null
3057,NI3057,1,Simple Gap,South,null,null
3059,IR3059,1,Simple Gap,North east,null,null
3060,IR3060,1,Simple Gap,North east,null,null
3062,SC3062,1,Oblique,North east,"In the core fort. Oblique approach exposing left side, but possibly modern",null
3062,SC3062,2,Oblique,South east,"In outer enclosure, with slightly staggered rampart terminals and an oblique approach exposing right side",null
3062,SC3062,3,Simple Gap,South west,In outer enclosure,null
3062,SC3062,4,Simple Gap,North west,In outer enclosure,null
3063,SC3063,1,Oblique,North east,"via trackway around the N terminal of the outwork, exposing the left side",null
3063,SC3063,2,Blocked,South east,Through an outer rampart and subsequently blocked by th eoutwork,null
3063,SC3063,3,Simple Gap,West,"Gap in an arc of rampart probably superseded by the massive outwork, and into the area enclosed aroud the pond",null
3064,SC3064,1,Simple Gap,South,Possibly with some form of additional external protection,null
3067,SC3067,1,Simple Gap,North,null,null
3069,SC3069,1,Simple Gap,South east,In the flattened E end close to the SE angle and implying there may be at least one other in this end.,null
3069,SC3069,2,Simple Gap,South west,a bleaching in the crop running up into the interior and conceivable a natural feature,null
3069,SC3069,3,Simple Gap,West,A posssible gap on the WSW,null
3069,SC3069,4,Simple Gap,West,A possible gap adjacent to the modern wall,null
3071,SC3071,1,Simple Gap,East,Through the smaller scheme,null
3072,SC3072,1,Oblique,North east,Oblique approach through all ramparts exposing left side,null
3072,SC3072,2,Simple Gap,West,Inner rampart,null
3073,SC3073,1,Simple Gap,North east,null,null
3073,SC3073,2,In-turned,North east,Possible inturns to either side,null
3073,SC3073,3,In-turned,South west,Forms a deep re-entrant,null
3073,SC3073,4,Simple Gap,North west,null,null
3074,SC3074,1,Simple Gap,South west,null,null
3077,SC3077,1,Simple Gap,North,null,null
3078,SC3078,1,Simple Gap,East,null,null
3083,SC3083,1,Simple Gap,South west,At the WSW end of the SSE side,null
3084,SC3084,1,Simple Gap,North,In the earlier fort,null
3084,SC3084,2,Simple Gap,East,In the earlier fort,null
3085,SC3085,1,Simple Gap,North,Through innermost bank and palisades,null
3085,SC3085,2,Simple Gap,East,Through innermost bank and palisades,null
3085,SC3085,3,Simple Gap,South,Through innermost bank and palisades; staggered terminals,null
3085,SC3085,4,Simple Gap,West,Through innermost bank and palisades,null
3085,SC3085,5,Simple Gap,North west,Through innermost bank and palisades,null
3085,SC3085,6,Oblique,North,Through the middle lines. Oblique approach exposing left side,null
3085,SC3085,7,Simple Gap,North east,Through the middle lines,null
3085,SC3085,7,Simple Gap,North east,Through the outer lines and roughly aligned on an entrance in the middle lines,null
3085,SC3085,8,Simple Gap,East,Through the middle lines,null
3085,SC3085,9,Simple Gap,East,Through the middle lines,null
3085,SC3085,10,Simple Gap,South east,Through the middle lines,null
3085,SC3085,10,Passage-way/Corridor,South east,Through the outer lines and aligned on an entrance in the middle lines,null
3085,SC3085,11,Oblique,South,Through the middle lines; approaching obliquely through the outer lines exposing right side,null
3085,SC3085,11,Passage-way/Corridor,South,Through the outer lines and aligned on an entrance through the middle lines,null
3085,SC3085,12,Simple Gap,South west,Through the outer terraces of the middle lines,null
3085,SC3085,13,Oblique,South west,Middle lines. Slightly oblique approach exposing right side,null
3085,SC3085,14,Simple Gap,West,Through the middle lines,null
3085,SC3085,15,Simple Gap,North west,Through the middle lines,null
3085,SC3085,15,Simple Gap,North west,Through the outer lines and aligned on an entrance in the middle lines,null
3085,SC3085,16,Oblique,North,"Through the outer lines, exposing right side",null
3085,SC3085,17,Passage-way/Corridor,East,"Through the outer lines, which diverge abruptly in this sector",null
3085,SC3085,19,Passage-way/Corridor,East,Through the outer lines and aligned on an entrance in the middle lines,null
3085,SC3085,20,Simple Gap,South west,Through the outer lines,null
3085,SC3085,21,Over-lapping,West,Outer lines. Oblique approach exposing left side,null
3086,SC3086,1,Oblique,North east,Staggered to create Slightly oblique approach exposing left side,null
3086,SC3086,1,Simple Gap,North east,null,null
3086,SC3086,2,Oblique,South east,Staggered to create Slightly oblique approach exposing right side,null
3086,SC3086,2,Simple Gap,South east,null,null
3087,SC3087,1,Simple Gap,East,"A possibly original causeway across the ditch of the innermost, stone circuit, lying upslope from an entrance through both outer circuits",null
3087,SC3087,1,Oblique,East,Slightly staggered terminals in the second circuit immediately up slope from an entrance in the third circuit and suggesting oblique approach exposing left side,null
3087,SC3087,1,Simple Gap,East,"In the 3rd circuit below an entrance in the 2nd circuit, but complicated by the terminal of the annexe boundary on the N",null
3087,SC3087,2,Simple Gap,East,In the 3rd circuit,null
3087,SC3087,3,Simple Gap,South east,Where a later track cuts obliquely across the 3rd circuit,null
3087,SC3087,4,Simple Gap,South,A faint gap in the line of the second circuit upslope from entrance 17 in the 3rd circuit,null
3087,SC3087,4,Simple Gap,South,"In the 3rd circuit below a faint break in the in the 2nd circuit, but possibly blocked externally by faint traces of an outer bank",null
3087,SC3087,5,Simple Gap,South west,A gap in the line of the 2nd circuit with a trackway leading down to an entrance in the 3rd circuit,null
3087,SC3087,5,Simple Gap,South west,In the 3rd circuit below a possible entrance in the 2nd circuit,null
3087,SC3087,6,Simple Gap,South west,"A gap in the line of the 2nd circuit with a trackway leading up from an entrance in the 3rd circuit, though this is the line of an approach track in the 19th century",null
3087,SC3087,6,Simple Gap,South west,In the 3rd circuit below an entrance in the 2nd circuit and the line of the 19th century track to the summit,null
3087,SC3087,7,Simple Gap,South west,"In the 3rd circuit and cut obliquely by a later track, giving the impression that the terminals are staggered",null
3087,SC3087,7,Oblique,South west,Apparently staggered terminals and pierced obliquely by a later trackway,null
3087,SC3087,8,Simple Gap,West,A gap in the line of the 2nd circuit immediately upslope from an entrance in the 3rd circuit,null
3087,SC3087,8,Simple Gap,North west,A gap in the line of the 2nd circuit immediately upslope from entrance 23 in the 3rd circuit,null
3087,SC3087,8,Simple Gap,West,In the 3rd circuit below an entrance in the 2nd circuit,null
3087,SC3087,9,Oblique,North west,Staggered terminals in the line of the 2nd circuit immediately upslope from and entrance in the 3rd circuit and suggesting an oblique approach exposing the right side,null
3087,SC3087,9,Simple Gap,North,A gap in the line of the 2nd circuit immediately upslope from entrance 24 in the 3rd circuit,null
3087,SC3087,9,Simple Gap,North west,Possibly staggered terminals In the 3rd circuit below an entrance in the 2nd circuit,null
3087,SC3087,10,Simple Gap,North west,In the 3rd circuit below an entrance in the 2nd circuit,null
3087,SC3087,11,Simple Gap,North,In the 3rd circuit below an entrance in the 2nd circuit,null
3087,SC3087,12,Simple Gap,North,A gap in the line of the 2nd circuit immediately upslope from an entrance in the 3rd circuit,null
3087,SC3087,12,Simple Gap,North,In the 3rd circuit below an entrance in the 2nd circuit,null
3087,SC3087,13,Simple Gap,North east,A gap in the line of the 2nd circuit immediately upslope from an entrance in the 3rd circuit,null
3087,SC3087,13,Simple Gap,North east,In the 3rd circuit below an entrance in the 2nd circuit,null
3087,SC3087,14,Simple Gap,North east,"A gap in the pattern of quarrying for the 2nd circuit suggests an additional entrance here, but it is not matched by a gap in the 3rd circuit",null
3088,EN3088,1,In-turned,East,null,null
3089,SC3089,1,Simple Gap,South west,null,null
3091,SC3091,1,Simple Gap,South,null,null
3092,SC3092,1,Simple Gap,West,Central causeway through the defences,null
3093,SC3093,1,Simple Gap,West,null,null
3094,SC3094,1,Simple Gap,South west,null,null
3095,SC3095,1,Simple Gap,South west,null,null
3096,EN3096,1,Simple Gap,South east,null,null
3099,SC3099,1,Simple Gap,North,null,null
3101,SC3101,1,Blocked,North east,null,null
3101,SC3101,1,Simple Gap,North east,null,null
3102,SC3102,1,Simple Gap,West,null,null
3108,SC3108,1,Simple Gap,North west,null,null
3116,EN3116,1,Simple Gap,North west,Inner rampart,null
3116,EN3116,1,Simple Gap,North west,Middle rampart,null
3117,SC3117,1,Simple Gap,South east,Possible gap,null
3118,SC3118,1,Simple Gap,West,null,null
3119,SC3119,1,Simple Gap,East,traces of a probable trackway,null
3119,SC3119,2,Hollow Way,West,Only the trackway is visible,null
3122,SC3122,1,Simple Gap,North east,null,null
3122,SC3122,2,Simple Gap,South west,null,null
3124,SC3124,1,Simple Gap,South east,null,null
3124,SC3124,2,Simple Gap,North west,null,null
3125,SC3125,1,Simple Gap,South,Possible gap in the outermost rampart on the S,null
3126,SC3126,1,Other Forms,East,"Claimed to have been cut through rock and paved (Miller 1857, 38)",null
3127,SC3127,1,Simple Gap,South east,Causeway through the ditches some 35m long,null
3128,SC3128,1,Simple Gap,West,In both periods,null
3131,SC3131,1,Simple Gap,West,Along the N margin of the promontory,null
3133,SC3133,1,Barbican,West,"The function of the outer works as attributed by RCAHMS in 1925, but not wholly convincing",null
3133,SC3133,2,Simple Gap,East,"The access used for agricultural operations at the E end, but with not clear evidence that it is original",null
3134,EN3134,1,In-turned,East,null,null
3134,EN3134,2,Simple Gap,South,null,null
3135,EN3135,1,Simple Gap,North east,null,null
3136,EN3136,1,Simple Gap,East,null,null
3137,SC3137,1,Simple Gap,East,Piercing all three ditches,null
3137,SC3137,2,Simple Gap,West,Break in the lip of the escarpment,null
