Main_Atlas_Number,Main_Display_Name,Location_X,Location_Y,Density,Density_trans,Location_Current_County,Location_Historic_County,Location_Current_Parish
1885,"Castell Gwyn, Llandissilio, Pembrokeshire",-528356,6775248,1.5301878393914342e-12,-3.8024547924828624,Pembrokeshire,Pembrokeshire,Llandissilio West
1886,"Pant-y-Cadno, Pembrokeshire (Pant-y-Cadnaw; Bron y Gaer)",-527974,6776705,1.5345153524362411e-12,-3.8024525732038885,Pembrokeshire,Pembrokeshire,Llandissilio West
1887,"Cannomill Bog, Northumberland",-239592,7474332,3.247336432836029e-12,-3.801801227981534,Northumberland,Northumberland,Kirknewton
1888,"Castell Henllys, Pembrokeshire",-528248,6803346,1.5199004465985698e-12,-3.8024600868027516,Pembrokeshire,Pembrokeshire,Nevern
1889,"Cwm Gloyn Camp (Eastern Enclosure)., Pembrokeshire",-530423,6804240,1.4989549749728973e-12,-3.8024709484037666,Pembrokeshire,Pembrokeshire,Nevern
1890,"Cwm Gloyn Ii (West Enclosure), Pembrokeshire",-530571,6804283,1.4975386868212411e-12,-3.8024716868711605,Pembrokeshire,Pembrokeshire,Nevern
1892,"Castell Llwyd, Meline, Pembrokeshire",-528905,6800995,1.5177768342267746e-12,-3.8024611829894894,Pembrokeshire,Pembrokeshire,Eglwyswrw
1893,"Castell Mawr, Meline, Pembrokeshire (Parc Castell)",-527911,6801293,1.5260664436226347e-12,-3.8024569103645494,Pembrokeshire,Pembrokeshire,Eglwyswrw
1894,"Cwm-Pen-y-Benglog, Pembrokeshire (Ally-y-Castell)",-527880,6800481,1.5275022989601163e-12,-3.802456172036494,Pembrokeshire,Pembrokeshire,Eglwyswrw
1895,"Foel Drygarn, Pembrokeshire (Moel Drygarn; Moel Trigarn; Foel Trigarn; Foel Drycarn; Foeltrigarn)",-521359,6794743,1.5877742008465818e-12,-3.8024256310790894,Pembrokeshire,Pembrokeshire,Crymych
1896,"Carn Alw, Pembrokeshire (Carnalw)",-524392,6794793,1.563347657303813e-12,-3.8024379037104823,Pembrokeshire,Pembrokeshire,Eglwyswrw
1897,"Castell Gilfach Gam, Pembrokeshire",-499728,6794946,1.7305975139215282e-12,-3.8023565302509583,Pembrokeshire,Pembrokeshire,Clydey
1898,"Pen-Castell, St Dogmael's, Pembrokeshire (Pencastell; Castell)",-529806,6814503,1.4819944704873971e-12,-3.8024798258212322,Pembrokeshire,Pembrokeshire,Nevern
1899,"Ffynone Wood, Pembrokeshire",-507450,6803001,1.67938886825066e-12,-3.802380805123497,Pembrokeshire,Pembrokeshire,Manordeifi
1902,"Castell Tre Ruffydd, Pembrokeshire (Castelltreruffydd; Castell Tre-Riffith; Castell Treuffydd)",-531329,6812686,1.4726126280262136e-12,-3.802484768653028,Pembrokeshire,Pembrokeshire,Nevern
1903,"Glandwr Isaf Camp, Pembrokeshire (Glan-Dwr-Isaf Camp; Castell Joan; Castell Moylgrove)",-527250,6812645,1.5096987135116425e-12,-3.8024653631919665,Pembrokeshire,Pembrokeshire,Nevern
1904,"Castell Felinganol, Pembrokeshire (Castellfelinganol; Castell Felin-Ganol; Castellfelorganol)",-520840,6808847,1.5725260743340016e-12,-3.802433275727735,Pembrokeshire,Pembrokeshire,Cilgerran
1905,"Castell Pen-yr-Allt, Llantood, Pembrokeshire (Castell Pen yr Allt)",-521848,6808435,1.5651148670307002e-12,-3.8024370110858916,Pembrokeshire,Pembrokeshire,Cilgerran
1906,"Howtel Field Camp, Northumberland",-240676,7480364,3.2742329207641498e-12,-3.801793323205898,Northumberland,Northumberland,Kilham
1907,"Gaer Cwmffryd, Pembrokeshire (y Gaer)",-521379,6806744,1.5721526599515878e-12,-3.802433463623274,Pembrokeshire,Pembrokeshire,Cilgerran
1908,"y Castell, Bridell, Pembrokeshire (Castell; Cwmbettws Defended Enclosure, Bridell)",-519870,6805416,1.5865863645970769e-12,-3.8024262246521525,Pembrokeshire,Pembrokeshire,Cilgerran
1909,"y Gaer, Bridell, Pembrokeshire",-519591,6809333,1.5816070948535857e-12,-3.80242871641156,Pembrokeshire,Pembrokeshire,Cilgerran
1910,"Castell Mael, Puncheston, Pembrokeshire",-545064,6787577,1.3774424707965358e-12,-3.802536270859682,Pembrokeshire,Pembrokeshire,Puncheston
1912,"Moneylaws Castle Hill Camp, Northumberland",-245372,7480351,3.3543186900391584e-12,-3.8017700663122453,Northumberland,Northumberland,Carham
1913,"South Buckton Moor, Northumberland (Buckton Moor South Camp)",-210435,7485459,2.5975722112034213e-12,-3.802008801671035,Northumberland,Northumberland,Kyloe
1915,"Castell Forlan, Pembrokeshire (Castell Vorlan)",-531640,6782957,1.506049003624719e-12,-3.802467257224706,Pembrokeshire,Pembrokeshire,Maenclochog
1917,"Posty Draw, Bletherston, Pembrokeshire (Post y Draw)",-534212,6777440,1.4815080422968556e-12,-3.8024800815284663,Pembrokeshire,Pembrokeshire,New Moat
1918,"Castell Rhyd-y-Brwyn, Pembrokeshire (Castell Cymmer; Rhyd-y-Brwyn; Rhyd-Brown Camp)",-535381,6775870,1.4700776719210579e-12,-3.802486108179264,Pembrokeshire,Pembrokeshire,New Moat
1920,"Carn Ffoi, Pembrokeshire",-539386,6801046,1.419573608378229e-12,-3.8025131576476587,Pembrokeshire,Pembrokeshire,Newport
1921,"Tyganol Fort, Nevern, Pembrokeshire (Tycanol Fort; Ty Canol; Ty-Canol; Tycanol Wood)",-532351,6799465,1.4889605601533624e-12,-3.8024761706333647,Pembrokeshire,Pembrokeshire,Nevern
1922,"Hethpool Bell, Northumberland",-240108,7469923,3.2456253817616194e-12,-3.801801732483571,Northumberland,Northumberland,Kirknewton
1923,"Carn Ingli, Pembrokeshire (Carningli)",-536919,6800167,1.4450140947255122e-12,-3.8024994448540106,Pembrokeshire,Pembrokeshire,Newport
1924,"Parc Castell, Castlebythe, Pembrokeshire (Wern Camp)",-543750,6788344,1.390304856027703e-12,-3.8025291599101325,Pembrokeshire,Pembrokeshire,Puncheston
