Main_Atlas_Number,Main_Display_Name,Boundary_Boundary_Comments,Boundary_Boundary_Type,Boundary_Current_Parish_2
259,"Auchenhay, Dumfries & Galloway",NA,NA,NA
260,"Craig Hill, Dumfries & Galloway (Lochangower)",NA,NA,NA
261,"Edgarton Mote, Dumfries & Galloway",NA,NA,NA
262,"Giant's Dike, Dumfries & Galloway (Barstobrick Hill)",NA,NA,NA
263,"Stroanfreggan Craig, Dumfries & Galloway",NA,NA,NA
264,"Carminnows, Dumfries & Galloway (Deugh Bridge; Carminnow; Water of Deugh)",NA,NA,NA
265,"East Kirkcarswell, Dumfries & Galloway",NA,NA,NA
266,"Barend Mote, Dumfries & Galloway",NA,NA,NA
267,"Castleyards, Dumfries & Galloway",NA,NA,NA
268,"Nether Hazelfield, Dumfries & Galloway",NA,NA,NA
269,"Castle Muir, Dumfries & Galloway (Rueberry Castle)",NA,NA,NA
270,"Spouty Dennans, Dumfries & Galloway",NA,NA,NA
271,"Spouty Dennans, Dumfries & Galloway",NA,NA,NA
272,"Castlecreavie, Dumfries & Galloway",NA,NA,NA
273,"High Fort, North Milton, Dumfries & Galloway (High Fort of North Milton)",NA,NA,NA
274,"Doon Hill, Balig, Dumfries & Galloway",NA,NA,NA
275,"Glennap Fort, Dumfries & Galloway",NA,NA,NA
276,"Craigraploch, Dumfries & Galloway (Wall Hill)",NA,NA,NA
277,"Castle Hill, Dumfries & Galloway (Castlegower)",NA,NA,NA
278,"Ingleston, Dumfries & Galloway",NA,NA,NA
279,"Dunguile Hill, Dumfries & Galloway",NA,NA,NA
280,"Kerbers, Dumfries & Galloway",NA,NA,NA
281,"Netherthird, Dumfries & Galloway",NA,NA,NA
282,"Kennan's Isle, Tongland Loch, Dumfries & Galloway (River Dee; Tongland Reservoir)",NA,NA,NA
283,"Corra Hill, Dumfries & Galloway",NA,NA,NA
284,"March Cleugh, Dumfries & Galloway",NA,NA,NA
285,"Wraith Plantation, Dumfries & Galloway (Collin Mill Bridge)",NA,NA,NA
286,"Suie Hill, Dumfries & Galloway",NA,NA,NA
287,"Dungarry, Dumfries & Galloway",NA,NA,NA
288,"Meikle Sypland, Dumfries & Galloway (Sypland Mote)",NA,NA,NA
289,"Mote Hill, Dumfries & Galloway (Clarebrand Mote, The Round)",NA,NA,NA
290,"Crofts Mote, Dumfries & Galloway",NA,NA,NA
291,"Auld Kirk of Lochroan, Dumfries & Galloway",NA,NA,NA
292,"Dunmuir Hill, Dumfries & Galloway (Dunmore)",NA,NA,NA
293,"Torrs Hill, Dumfries & Galloway (Doonend Hill)",NA,NA,NA
294,"Camphill, Dumfries & Galloway (Meikle Knox)",NA,NA,NA
295,"Meikle Wood Hill, Dumfries & Galloway (Kelton Mains)",NA,NA,NA
296,"Moat Hill, Margley, Dumfries & Galloway",NA,NA,NA
297,"Crofts, Dumfries & Galloway",NA,NA,NA
298,"Glengappock Mote, Dumfries & Galloway (Glenroan Mote; Goenroan Mote)",NA,NA,NA
299,"Minnydow Mote, Dumfries & Galloway",NA,NA,NA
300,"Mochrum Fell, Dumfries & Galloway (Nick of Mochrum)",NA,NA,NA
301,"Glenlair Burn, Dumfries & Galloway",NA,NA,NA
302,"White Isle, Dumfries & Galloway",NA,NA,NA
303,"Loch Knowe, Dumfries & Galloway",NA,NA,NA
304,"Castle Hill, Dumfries & Galloway (Dalwhat)",NA,NA,NA
305,"Big Airds Hill, Dumfries & Galloway (Airds)",NA,NA,NA
306,"Airds, Dumfries & Galloway",NA,NA,NA
307,"Little Airds Hill, Dumfries & Galloway",NA,NA,NA
308,"Court Hill, Dumfries & Galloway (Ramshaw Wood)",NA,NA,NA
309,"Moyle Hill, Dumfries & Galloway (Barnbarroch; The Moyle)",NA,NA,NA
310,"Castlehill Point, West Barcloy, Dumfries & Galloway (Castle Point)",NA,NA,NA
311,"Port o' Warren, Dumfries & Galloway",NA,NA,NA
312,"Mote of Mark, Dumfries & Galloway (Rockcliffe)",NA,NA,NA
313,"Nethertown of Almorness, Dumfries & Galloway (Nethertown Cottages; Almorness Point; Cocklehaen)",NA,NA,NA
314,"Camp Hill, Dumfries & Galloway",NA,NA,NA
315,"Waterside, Dumfries & Galloway",NA,NA,NA
316,"Barr Hill, Dumfries & Galloway (Springholm)",NA,NA,NA
317,"Torkirra, Dumfries & Galloway (Tarkirra)",NA,NA,NA
318,"The Doons, Dumfries & Galloway",NA,NA,NA
319,"Green Island, Milton Loch, Dumfries & Galloway",NA,NA,NA
320,"Dinning, Dumfries & Galloway",NA,NA,NA
321,"Sundaywell, Dumfries & Galloway",NA,NA,NA
322,"Virginhall Plantation, Gallows Dike, Dumfries & Galloway (Virginhill Plantation)",NA,NA,NA
323,"Carronbridge, Bell Craig, Dumfries & Galloway",NA,NA,NA
324,"Grennan Hill, Dumfries & Galloway",NA,NA,NA
325,"Rosehill, Dumfries & Galloway",NA,NA,NA
326,"Tynron Doon, Dumfries & Galloway",NA,NA,NA
327,"Borron Hill, Dumfries & Galloway (Arbigland)",NA,NA,NA
328,"Kirkland Moat, Dumfries & Galloway",NA,NA,NA
329,"Ingleston Mote, Dumfries & Galloway",NA,NA,NA
330,"Hall Hill Mote, Dumfries & Galloway (Hallhill)",NA,NA,NA
331,"Beacon Hill, Dumfries & Galloway (Colstrand Fort)",NA,NA,NA
332,"Camp Hill, Trohoughton, Dumfries & Galloway",NA,NA,NA
333,"Castlehill, Dumfries & Galloway (Castle Hill)",NA,NA,NA
334,"Goldielea Wood, Dumfries & Galloway",NA,NA,NA
335,"Temple Wood, Dumfries & Galloway",NA,NA,NA
336,"Mullach, Dumfries & Galloway (Beacon Hill)",NA,NA,NA
337,"The Belt, Dumfries & Galloway",NA,NA,NA
338,"Longbank, Dumfries & Galloway",NA,NA,NA
339,"Castle Hill, Dumfries & Galloway",NA,NA,NA
340,"Burnhead, Dumfries & Galloway",NA,NA,NA
341,"Sour Hill, Dumfries & Galloway",NA,NA,NA
342,"Leffnoll, Dumfries & Galloway",NA,NA,NA
343,"Cults Loch, Dumfries & Galloway (Castle Kennedy House)",NA,NA,NA
344,"Kirkland Hill, Dumfries & Galloway",NA,NA,NA
345,"Springfield Hill, Dumfries & Galloway",NA,NA,NA
346,"Mcculloch's Castle, Dumfries & Galloway",NA,NA,NA
347,"Evening Bank Wood, Cumbria (Dacre)",NA,NA,NA
349,"Castle Frome, Herefordshire",NA,NA,NA
350,"Bomere Heath, Shropshire",NA,NA,NA
351,"Bomere Wood, Shropshire",NA,NA,NA
352,"Bwlch y Gwynt, Shropshire",NA,NA,NA
354,"Gelli Lwyd, Shropshire",NA,National,TBD
355,"Preston Springs, Shropshire",NA,NA,NA
356,"Ritton Castle, Shropshire",NA,NA,NA
357,"Stevenshill, Shropshire",NA,NA,NA
358,"Stockton Wood, Shropshire (Stocktonwood)",NA,NA,NA
359,"Woodhouse Farm, Shropshire",NA,NA,NA
361,"Grinsdale Camp, Cumbria (Skew Hill)",Parish boundary between Kingmoor and Beaumont follows the course of the River Eden,Parish/Townland,Beaumont
362,"The Mount, Beoley, Worcestershire",NA,NA,NA
363,"Elmley Castle Earthworks, Worcestershire (Elmley Castle)",NA,NA,NA
364,"Wychbury Ring, Worcestershire (Wychbury Camp; Wychbury Hill Camp)",The boundary between Worcs. and the West Midlands runs SW-NE through the hillfort and bounds the enclosure in the NE. The region has undergone several historic county changes - Worcestershire to 1966; Staffordshire 1966-1974; West Midlands 1974 onwards. Dudley now effectively a unitary.,County,Dudley
365,"Harborough Hill, Churchill, Worcestershire",NA,NA,NA
366,"Church Coppice, Hanbury, Worcestershire",NA,NA,NA
367,"Woodbury, Great Witley, Worcestershire (Woodbury Hill)",NA,NA,NA
368,"Berrow Hill Camp, Martley, Worcestershire",NA,NA,NA
369,"Kempsey Promontory Fort, Worcestershire",NA,NA,NA
370,"Arley Wood Camp, Worcestershire",NA,NA,NA
371,"Castle Hill Camp, Bow Wood, Worcestershire",NA,NA,NA
373,"Berry Mound Camp, Worcestershire (Dane's Camp)",NA,NA,NA
