Main_Atlas_Number,Main_Display_Name,Boundary_Boundary_Comments,Boundary_Boundary_Type,Boundary_Current_Parish_2
2066,"Islay, Rhinns Point, An Dun, Argyll & Bute",NA,NA,NA
2067,"Islay, Am Burg, Coul, Argyll & Bute",NA,NA,NA
2068,"East of Flodden Camp, Northumberland",The parish boundary between Ford and Millfield runs through or close to the enclosure (unable to determine precise location of enclosure from available satellite imagery),Parish/Townland,Millfield
2069,"Islay, Ard Fhraoch, Argyll & Bute",NA,NA,NA
2070,"Mullaghglass, Galway",NA,NA,NA
2071,"Islay, The Oa, Dun Mor Ghil, Argyll & Bute",NA,NA,NA
2074,"Holgan, Pembrokeshire",NA,NA,NA
2075,"Faenor Gaer, Pembrokeshire (Vaenor Gaer; Vaynor Gaer)",NA,NA,NA
2076,"Sunnyside, Pembrokeshire",NA,NA,NA
2077,"Bush Inn Camp, Robeston Wathen, Pembrokeshire (Castle Rath)",NA,NA,NA
2078,"Castle Lake Camp, Pembrokeshire",NA,NA,NA
2079,"Canaston Wood Camp, Pembrokeshire (Canaston Wood Camp; Cil Foden)",NA,NA,NA
2081,"Llanddewi Gaer, Pembrokeshire (Pen-y-Gaer)",NA,NA,NA
2082,"Castell Meherin West, Pembrokeshire (Castell Mehren West)",NA,NA,NA
2083,"Castell Meherin East, Pembrokeshire (Castell Mehren East)",NA,NA,NA
2084,"Blaen Gywddno, Pembrokeshire (Blaengwaith-Noah Camp; Blaengwaith Noah Camp)",NA,NA,NA
2085,"Islay, Cnoc Eabriic, Argyll & Bute",NA,NA,NA
2086,"Freshwater East Camp, Pembrokeshire",NA,NA,NA
2087,"Greenala Camp, Pembrokeshire (Greenala Point Fort)",NA,NA,NA
2088,"Skomar Camp, Lydstep, Pembrokeshire (Skomer Camp)",NA,NA,NA
2089,"Old Castle Camp, Manorbier, Pembrokeshire (Old Castle Head, Manorbier)",NA,NA,NA
2091,"Crowhill Rath, Pembrokeshire",NA,NA,NA
2092,"Caerau Gaer, Llandewi Velfrey, Pembrokeshire",NA,NA,NA
2093,"Castell Gwyndy, Pembrokeshire",NA,NA,NA
2095,"Denant, Pembrokeshire (Denant Rath)",NA,NA,NA
2099,"Arnold's Hill, Pembrokeshire",NA,NA,NA
2100,"Berry Hill, Pembrokeshire",NA,NA,NA
2101,"Castell Gwyn Ii, Pembrokeshire (Castell Gwyn Uchaf)",NA,NA,NA
2102,"Berry Slade, Pembrokeshire",NA,NA,NA
2103,"West Angle Bay, Pembrokeshire",NA,NA,NA
2105,"Stackpole, Pembrokeshire",NA,NA,NA
2109,"Castell Hendre Wen, Pembrokeshire (Castell Hendre-Wen; Castell Bytheg)",NA,NA,NA
2110,"Keeston Castle, Pembrokeshire",NA,NA,NA
2111,"Romans Castle, Pembrokeshire (Ramus Castle)",NA,NA,NA
2113,"Molleston Back Camp, Pembrokeshire (Molleston Bank; Grove)",NA,NA,NA
2117,"Islay, Dun Bheolain, Argyll & Bute",NA,NA,NA
2118,"Islay, Beinn Sholaraidh, Argyll & Bute",NA,NA,NA
2119,"Pen-y-Garn, Carmarthenshire",NA,NA,NA
2120,"Islay, Alt Nan Ba, Argyll & Bute",NA,NA,NA
2122,"Banc y Rhyfel, Carmarthenshire (Dyffryn Camp)",NA,NA,NA
2123,"Allt y Ferin, Carmarthenshire",NA,NA,NA
2124,"Dryslwyn Castle, Carmarthenshire",NA,NA,NA
2125,"Islay, Sron Dubh, Argyll & Bute",NA,NA,NA
2126,"Grongaer, Llangathen, Carmarthenshire (Grongar Hill)",NA,NA,NA
2127,"Pen y Gaer, Llanybydder, Carmarthenshire",NA,NA,NA
2128,"Islay, Beinn a' Chaisteal,, Argyll & Bute",NA,NA,NA
2129,"y Gaer, Pencarreg, Carmarthenshire (Gelli; Caer Pencarreg)",NA,NA,NA
2130,"Castell Elwyn, Carmarthenshire",NA,NA,NA
2131,"Waun-y-Castell, Carmarthenshire (Waen-y-Castell)",NA,NA,NA
2132,"Maes y Castell, Carmarthenshire",NA,NA,NA
2133,"Gaer Fawr, Manordeilo, Carmarthenshire (Gaer Fach)",NA,NA,NA
2134,"Tal-y-Fan, Llandeilofawr, Carmarthenshire",NA,NA,NA
2135,"Dinefwr Castle, Carmarthenshire (Castell Dinefwr; Dynefor Castle; Dinevor Castle)",NA,NA,NA
2136,"y Gaer Fawr, Carn Goch, Carmarthenshire (y Gaer Fawr)",NA,NA,NA
2137,"Islay, Lagavulin, An Dunan, Argyll & Bute",NA,NA,NA
2138,"Llwyndu Camp, Carmarthenshire (Llwyn Du Camp)",NA,NA,NA
2139,"Islay, Borraichill Mor, Argyll & Bute (Borraniebill Mor; Port Ellen; Brahunissary)",NA,NA,NA
2140,"y Gaer Fach,  Carn Goch, Llangadog, Carmarthenshire",NA,NA,NA
2141,"Carreg Cegyn, Carmarthenshire",NA,NA,NA
2142,"Gelli Diogyn, Carmarthenshire",NA,NA,NA
2146,"Moat Farm Camp, Carmarthenshire",NA,NA,NA
2147,"Careg Llwyd, Carmarthenshire (Gareg Llwyd; Garreg Llwyd; Mynydd Pembrey (West); Garreg Lwyd; Craig Llwyd)",NA,NA,NA
2148,"Islay, Portintruan, Argyll & Bute",NA,NA,NA
2149,"Cencoed, Carmarthenshire (Cwm Mawr; Caer Glas)",NA,NA,NA
2150,"Croes Arthur, Carmarthenshire (Cwm Rheiddol; Cwmrheiddol)",NA,NA,NA
2151,"Islay, Port Ellen, Borraichill Mor, Argyll & Bute",NA,NA,NA
2152,"Islay, Dun Cheapasaidh Mor, Argyll & Bute",NA,NA,NA
2153,"Islay, Dun Nosebridge, Argyll & Bute (Neriby; Dun Noesbridge; Mulindry; Upper Laggan Valley)",NA,NA,NA
2154,"Islay, Dun Guaidhre, Argyll & Bute (Dun Guaire; Kilmeny)",NA,NA,NA
2155,"Islay, Bridgend, Argyll & Bute",NA,NA,NA
2156,"Islay, Bridgend, Borraichill Mor, Argyll & Bute",NA,NA,NA
2157,"Islay, Rubha Bhollsa, Argyll & Bute (Rubha Bholsa)",NA,NA,NA
2158,"Islay, Sgairail, Argyll & Bute",NA,NA,NA
2159,"Islay, Gortantaoid, Argyll & Bute",NA,NA,NA
2160,"Oronsay, Dun Domhnuill, Argyll & Bute (Oronsay House)",NA,NA,NA
2161,"Colonsay, Dun Uragaig, Argyll & Bute",NA,NA,NA
2162,"Colonsay, Meall Lamalum, Argyll & Bute",NA,NA,NA
2163,"Colonsay, Dun Tealtaig, Argyll & Bute",NA,NA,NA
2164,"Colonsay, Dun Cholla, Argyll & Bute",NA,NA,NA
2165,"Colonsay, Dun Eibhinn, Argyll & Bute",NA,NA,NA
2166,"Colonsay, Dun Gallain, Argyll & Bute",NA,NA,NA
2167,"Islay, Fang a' Chaisteil, Argyll & Bute",NA,NA,NA
2168,"Islay, Lagavulin, Barr An T-Seann Duine, Argyll & Bute",NA,NA,NA
2169,"Islay, Dun Nan Gall, Argyll & Bute",NA,NA,NA
2170,"Islay, Trudernish Point, Argyll & Bute (Dun Thrudernish; Claggain Bay; Aros Bay)",NA,NA,NA
2171,"Islay, Mullach Ban, An Dun, Argyll & Bute",NA,NA,NA
2172,"Islay, Creagan na Ceardaich Moire, Argyll & Bute",NA,NA,NA
2173,"Rugley Wood, Northumberland",NA,NA,NA
2174,"Islay, Dun An Rubha Bhuidhe, Argyll & Bute (Dun An Rudha Bhuide; Claggain Bay; Ardtalla)",NA,NA,NA
2175,"Islay, Loch Nan Clach, Argyll & Bute",NA,NA,NA
2176,"Islay, Kintour, Dun Beag, Argyll & Bute",NA,NA,NA
2177,"Islay, Port Ellen, The Ard, Argyll & Bute",NA,NA,NA
2178,"Islay, Carraig Bun Aibhne, Argyll & Bute",NA,NA,NA
2179,"Islay, Port Chubaird, Dunan Buidhe, Argyll & Bute",NA,NA,NA
2180,"Dunan, Argyll & Bute",NA,NA,NA
2181,"Jura, Dunan An Raoil, Argyll & Bute (Dun An Roail; Crackaig)",NA,NA,NA
2182,"Jura, Creag An Dunain, Argyll & Bute",NA,NA,NA
2183,"Colonsay, Dun Meadhonach, Argyll & Bute",NA,NA,NA
2184,"Jura, Druim Loisgte, Argyll & Bute",NA,NA,NA
2185,"Jura, Ardmenish, An Dunan, Argyll & Bute",NA,NA,NA
2187,"Caerau Clungwyn, Carmarthenshire (Caerau, Newchurch; Caerau Clyngwyn)",NA,NA,NA
2188,"Merlin's Hill, Carmarthenshire (Merlin's Grove)",NA,NA,NA
2189,"Parc-y-Gaer, Abergwili, Carmarthenshire (Pant yr Ystrad)",NA,NA,NA
2190,"Parc-Castell, Llangeler, Carmarthenshire (Parc Castell)",NA,NA,NA
2191,"Castell, Pencader, Carmarthenshire (Banc)",NA,NA,NA
2192,"Craig Gwrtheyrn, Carmarthenshire (Craig-Gwrtheyrn; Caer Gwrtheyrn)",NA,NA,NA
2193,"yr Hen Castell, Llanfihangel-Ar-Arth, Carmarthenshire (Hen Castell)",NA,NA,NA
2194,"Castell Pant y Fen, Carmarthenshire",NA,NA,NA
2195,"Castell Pyr, Llanllwni, Carmarthenshire",NA,NA,NA
2196,"Cnoc Araich, Argyll & Bute",NA,NA,NA
2197,"Sron Uamha, Argyll & Bute (Balemacruma)",NA,NA,NA
2198,"y Fan, Carmarthenshire (Fan Camp)",NA,NA,NA
2199,"Pen-y-Gaer, Meidrim, Carmarthenshire (Bron-y-Gaer I)",NA,NA,NA
2201,"Castell-y-Gaer, Newchurch, Carmarthenshire",NA,NA,NA
2202,"Allt-y-Cnap, Carmarthenshire",NA,NA,NA
2204,"Parc Cynog Farm, Carmarthenshire (Parccyn)",NA,NA,NA
2205,"Llanstephan Castle, Carmarthenshire (Llansteffan Castle)",NA,NA,NA
2206,"Cullan Doon, Argyll & Bute",NA,NA,NA
2207,"Castell Gorwyn, Castell Gorwyn Farm, Carmarthenshire (Parc y Castell)",NA,NA,NA
2208,"Pen-y-Gar, Llanpumsaint, Carmarthenshire (Pen y Gaer; Pen y Gar)",NA,NA,NA
2209,"Achnaclach, Argyll & Bute",NA,NA,NA
2210,"Balloch Hill, Argyll & Bute (Bealloch Hill)",NA,NA,NA
2211,"Pen y Gaer, Sarnau, Carmarthenshire (Sarnau)",NA,NA,NA
2212,"Pencaerau-Bach, Carmarthenshire",NA,NA,NA
2214,"Pen-y-Gaer, Abernant, Carmarthenshire",NA,NA,NA
2215,"Cilcrug, Carmarthenshire",NA,NA,NA
2216,"Dinas Fawr, Llangeler, Carmarthenshire (Dinas Bran)",NA,NA,NA
2217,"y Gaer Wen, Carmarthenshire",NA,NA,NA
2218,"Castell Henfryn, Carmarthenshire",NA,NA,NA
2219,"Ranachan Hill, Argyll & Bute",NA,NA,NA
2220,"Largiemore, Argyll & Bute (Ballergie Dun)",NA,NA,NA
2221,"Westport, Argyll & Bute",NA,NA,NA
2222,"Machrihanish, Argyll & Bute",NA,NA,NA
2223,"Killocraw, Argyll & Bute",NA,NA,NA
2224,"Caer Blaen Minog, Carmarthenshire",NA,NA,NA
2227,"Gigha, Dun Chibhich, Argyll & Bute",NA,NA,NA
2228,"Top Castle, Carmarthenshire",NA,NA,NA
2229,"Glan-y-Mor Fort, Laugharne, Carmarthenshire",NA,NA,NA
2230,"Woodreefe Castle, Carmarthenshire (Marros Castle; The Castle, Marros; The Castle, Woodreefe)",NA,NA,NA
2231,"Cwm-Felin Boeth, Carmarthenshire (Cwm-Felin Boeth; Drewfach)",NA,NA,NA
2232,"Castle Lloyd Camp, Carmarthenshire (Castle-Lloyd Camp)",NA,NA,NA
2233,"Clog-y-Fran, Carmarthenshire (Castell Hill)",NA,NA,NA
2234,"Castell Pen-y-Coed, Carmarthenshire",NA,NA,NA
2235,"Gigha, Dunan An T-Seasgain, Argyll & Bute",NA,NA,NA
2236,"Kildalloig, Argyll & Bute",NA,NA,NA
2237,"Parc-y-Gaer, Colston, Carmarthenshire (Parc y Gaer; Pant Glas; Parccyn)",NA,NA,NA
2238,"Castell Mawr, Trelech-A'R-Bettws, Carmarthenshire",NA,NA,NA
2239,"Pencastell, Llanwinio, Carmarthenshire (Pen-y-Castell)",NA,NA,NA
2240,"Hafod Camp, Carmarthenshire",NA,NA,NA
2241,"Pen y Gaer Fawr, Penlan, Carmarthenshire (Pengare Vawr; Pangare Vach)",NA,NA,NA
2242,"Castell Bron Niwl, Carmarthenshire (Castell Bron-Niwl)",NA,NA,NA
2246,"Cae Castell, Llangathen, Carmarthenshire",NA,NA,NA
2248,"Castell Mawr, Llanwinio, Carmarthenshire",NA,NA,NA
2249,"Carnawllon-Fawr, Carmarthenshire",NA,NA,NA
2250,"Cefn Gaer, Carmarthenshire (Bron y Gaer; Bronygaer)",NA,NA,NA
2251,"Dan Lan y Castell, Carmarthenshire",NA,NA,NA
2253,"Coygan Camp, Carmarthenshire",NA,NA,NA
2254,"Court Wood, Carmarthenshire",NA,NA,NA
2255,"Allt Clog-y-Fran, Carmarthenshire (Allt Glog-y-Fran)",NA,NA,NA
2257,"Parc y Gaer, Carmarthen, Carmarthenshire",NA,NA,NA
2258,"Blaen-Maes, Pencarreg, Carmarthenshire (Frondeg Blaen-Maes)",NA,NA,NA
2259,"Danycerrig, Carmarthenshire (Dan y Cerig; Dan-y-Cerig; Cerig Fawr)",NA,NA,NA
2260,"Cefn Crug, Carmarthenshire (Ystrdwal)",NA,NA,NA
2261,"Glenehervie, Argyll & Bute (Polliwilline; Glenhervie)",NA,NA,NA
2262,"Kildonan Point, Argyll & Bute",NA,NA,NA
2263,"Baraskomill, Argyll & Bute",NA,NA,NA
2264,"Ballywilline Hill, Argyll & Bute",NA,NA,NA
2265,"Belfield, Argyll & Bute (Craighuller)",NA,NA,NA
2266,"Saddell House, Argyll & Bute (Saddell House Policies)",NA,NA,NA
2267,"Killean, Argyll & Bute",NA,NA,NA
2268,"Dun Skeig, Argyll & Bute",NA,NA,NA
2270,"Castell y Waun, Carmarthenshire (Tregadogan; Castellywaun)",NA,NA,NA
2271,"Allt Abercothi, Carmarthenshire (Pont Ar Gothi)",NA,NA,NA
2272,"Mandinam, Carmarthenshire",NA,NA,NA
2273,"Sugar Loaf, Carmarthenshire",NA,NA,NA
2275,"Cefnbenydd, Carmarthenshire",NA,NA,NA
2276,"Gilman Point and Napps Circle, Carmarthenshire (Gilman Camp; Nappo Camp; Napps Circle; Napps Camp; Napp's Head; Napp's Head Camp)",NA,NA,NA
2277,"Maes Ifan, Carmarthenshire",NA,NA,NA
2279,"Castell Bach, Llanrhystyd, Ceredigion (Castell Gwarfelin)",NA,NA,NA
2280,"Castell Mawr, Ceredigion (Castell-Mawr)",NA,NA,NA
2281,"Ardpatrick, Cnoc Breac, Argyll & Bute",NA,NA,NA
2282,"Dun Mor, Argyll & Bute",NA,NA,NA
2283,"Dun na H-Earb, Argyll & Bute",NA,NA,NA
2284,"Dun na Doide, Argyll & Bute",NA,NA,NA
2285,"Castell Olwen, Ceredigion",NA,NA,NA
2286,"Gaer-Wen, Llangranog, Ceredigion (Garn Wen)",NA,NA,NA
2287,"a' Chrannag, Argyll & Bute",NA,NA,NA
2288,"Gaer Wen, Pen-y-Graig, Ceredigion (Garn Wen, Llandysul)",NA,NA,NA
2289,"Foel y Mwnt, Ceredigion",NA,NA,NA
2290,"Dun a' Chaisteil, Argyll & Bute",NA,NA,NA
2291,"Dun a' Bhuilg, Argyll & Bute",NA,NA,NA
2292,"Sithean Buidhe, Argyll & Bute",NA,NA,NA
2293,"Thornbury, Oxfordshire (Binsey)",NA,NA,NA
2294,"Rubha Cladh Eoin, Argyll & Bute (Loch Sween; Port Lunna)",NA,NA,NA
2295,"Ynys Lochtyn, Ceredigion (Ynyslochdin)",NA,NA,NA
2296,"Castell Nantperchellan, Ceredigion",NA,NA,NA
2297,"Caer Penrhos, Ceredigion (Caer Pen-Rhos; Castell Penrhos)",NA,NA,NA
2298,"Pendinas Lochtyn, Ceredigion (Pen Dinas Lochtyn; Pendinaslochtyn; Pendinaslochdin; Pendinaslochdyn)",NA,NA,NA
2299,"Castell Blaen-Igau, Ceredigion",NA,NA,NA
2300,"Llangranog, Ceredigion",NA,NA,NA
2301,"Gaer Lwyd, Ceredigion",NA,NA,NA
2302,"Pen Coed-Foel Camp, Ceredigion (Pencoed y Foel)",NA,NA,NA
2303,"Castell Gwynionydd, Ceredigion (Coedfon)",NA,NA,NA
2304,"Cwm Castell, Ceredigion",NA,NA,NA
2306,"Kncoklane, Sligo (Ballineden)",NA,NA,NA
2307,"Castell Bach, Cwm Tydi, Ceredigion (Castell-Bach)",NA,NA,NA
2308,"Castell Bach, Penbryn, Ceredigion (Castell-Bach, Penbryn)",NA,NA,NA
2309,"Caer Cadwgan, Cellan, Ceredigion (Caer Morrice; Gelli-Gaer Hillfort)",NA,NA,NA
2310,"Castell Goetre, Ceredigion (Castell Goedtref)",NA,NA,NA
2311,"Mynachlog-Uchaf, Ceredigion",NA,NA,NA
2312,"Mullaghmore, Sligo",NA,NA,NA
2313,"Ballyconnell, Sligo (Duneel)",NA,NA,NA
2314,"y Gaer, Ciliau Aeron, Ceredigion",NA,NA,NA
2315,"Castell Moeddyn, Ceredigion (Castell Moedidn)",NA,NA,NA
2316,"Castell Moeddyn Fach, Ceredigion (Castell Moedd Yn Fach; Castell Moeddin Fach)",NA,NA,NA
2318,"New Cross Camp, Ceredigion (Gors Hillfort; Cefn y Gaer)",NA,NA,NA
2319,"Old Warren Hill, Ceredigion",NA,NA,NA
2320,"Pen-y-Felin Wynt, Ceredigion (Coed Lluest)",NA,NA,NA
2322,"Caer Argoed, Ceredigion",NA,NA,NA
2323,"Gaer Fawr, Llanilar, Ceredigion (Pen y Caerau)",NA,NA,NA
2324,"Cefn Blewog Camp, Ceredigion",NA,NA,NA
2325,"Coed Allt-Fedw Camp, Ceredigion",NA,NA,NA
2326,"Cnwc y Bugail, Ceredigion",NA,NA,NA
2327,"Castell Disgwylfa, Ceredigion (Castell)",NA,NA,NA
2328,"Sunton, Wiltshire",NA,NA,NA
2329,"Castell-Careg-Wen, Ceredigion",NA,NA,NA
2330,"Caer Pwll-Glas, Ceredigion (Caer Pwll Glas)",NA,NA,NA
2331,"Caer Allt-Goch, Ceredigion",NA,NA,NA
2332,"Caer Lletty-Llwyd, Ceredigion (Caer Llety Llwyd)",NA,NA,NA
2333,"Capel Bangor Camp, Ceredigion (Caerau; Castell yr Aber)",NA,NA,NA
2334,"Penrhyn Coch Camp, Ceredigion (Garth Penrhyn-Coch)",NA,NA,NA
2335,"Pen-y-Darren, Ceredigion (Darren Camp; Daren Camp; Banc y Darren; Banc-y-Darren)",NA,NA,NA
2336,"Lletty-Evan-Hen, Ceredigion (Pen-y-Castell; Pen y Castell; Hen Gaer)",NA,NA,NA
2337,"Castell Grogwynion, Ceredigion",NA,NA,NA
2338,"Castell Goginan Fach, Ceredigion (Goginan Fach; Castell Goginan-Fach;  Banc y Castell)",NA,NA,NA
2339,"Castell Rhyfel, Ceredigion",NA,NA,NA
2340,"Pen-y-Frwydd Llwyd Camp, Craig Ystradmeurig, Ceredigion (Pen y Ffrwyd Bannau Camp)",NA,NA,NA
2341,"Pen-y-Bannau, Ceredigion",NA,NA,NA
2342,"Castell Nadolig, Ceredigion (Christmas Castle; Castle Christmas)",NA,NA,NA
2345,"Castell Bwa-Drain Camp, Ceredigion",NA,NA,NA
2346,"Crug-y-Balog, Ceredigion",NA,NA,NA
2347,"Dinas Cerdin, Ceredigion (Dinascerdin)",NA,NA,NA
2348,"Cribyn Clotas, Ceredigion (Cribyn Clotta)",NA,NA,NA
2349,"Castell Cwmere, Temple Bar, Ceredigion",NA,NA,NA
2350,"Mull, Cnoc na Sroine, Argyll & Bute (Caisteal na Srianga)",NA,NA,NA
2351,"Pen Dinas, Elerch, Ceredigion",NA,NA,NA
2352,"Hen Gaer, Bow Street, Ceredigion (Pen Gaer, Bow Street; Broncastellan; Caer Shon)",NA,NA,NA
2353,"y Gaer, Caron-Uwch-Clawdd, Ceredigion (y Gaer Hillfort, Lisbourne Road.)",NA,NA,NA
2354,"Castell Fflemish, Ceredigion",NA,NA,NA
2355,"Castell Tregaron, Ceredigion (Sunnyhill Wood Camp; Castell Sunnyhill)",NA,NA,NA
2356,"Tre-Coll, Ceredigion (Trecoll Hillfort)",NA,NA,NA
2357,"Pant y Bula, Ceredigion (y Gaer)",NA,NA,NA
2358,"Gaer, Llandygwydd, Ceredigion",NA,NA,NA
2359,"Caerau, Henllan, Ceredigion (Henllan)",NA,NA,NA
2360,"Pen Dinas, Aberystwyth, Ceredigion",NA,NA,NA
2361,"Esgair Nant-Yr-Arian, Ceredigion",NA,NA,NA
2362,"Castell Perthi-Mawr, Ceredigion (Castell Cilcennin)",NA,NA,NA
2363,"Pen Clawdd-Mawr, Ceredigion (Pen-Clawdd-Mawr)",NA,NA,NA
2364,"North Hazelrigg, Northumberland",NA,NA,NA
2365,"Cribyn Gaer, Ceredigion (Caer Maesmynach; Gaer Maesmynach)",NA,NA,NA
2366,"Castell Allt-Goch, Ceredigion (Castell Allt Goch)",NA,NA,NA
2367,"Coed-Parc Gaer, Ceredigion (Betws-Bledrws; Gaer Coed Parc)",NA,NA,NA
2368,"Tan-y-Ffordd, Ceredigion",NA,NA,NA
2369,"Crugllwyn Camp, Ceredigion (Crugllwyn-Llwyd; Crug Llwyn Llwyd; Crug Llwyn-Llwyd)",NA,NA,NA
2370,"Gaer Pwntan, Ceredigion (Caer Pwntan; Castell Pwntan; Pen-y-Gaer, Penbryn)",NA,NA,NA
2372,"Clyn-Yr-Ynys, Ceredigion",NA,NA,NA
2373,"Mull, Salen, Argyll & Bute (Salen Bay)",NA,NA,NA
2374,"Dinas, Melindwr, Ceredigion",NA,NA,NA
2375,"Graig y Gwbert, Ceredigion",NA,NA,NA
2377,"Caer Llifry, Ceredigion (Pen-y-Gaer, Bank Green Grove; Caer-Lifry)",NA,NA,NA
2380,"Gaer, Brongwyn, Ceredigion",NA,NA,NA
2381,"Bronfre-Ganol, Ceredigion",NA,NA,NA
2382,"Gaer Rhydlydan, Ceredigion (Pen-y-Gaer)",NA,NA,NA
2386,"Leap Linn, Scottish Borders",NA,NA,NA
2387,"Alltfadog South, Ceredigion",NA,NA,NA
2388,"Baldock, Hertfordshire",NA,NA,NA
2389,"Tillmouth Farm, Northumberland (Riffington Hill)",NA,NA,NA
2393,"Pen-y-Gaer, Nantcwnlle, Ceredigion (Pen y Gaer)",NA,NA,NA
2394,"Welwyn, Hertfordshire (Welwyn Garden City; Welch's Farm; Datchworth)",NA,NA,NA
2395,"Pen-y-Gaer, Llanbadarn, Ceredigion",NA,NA,NA
2397,"Bulbourne, Hertfordshire (Bulbourne Valley)",NA,NA,NA
2398,"Castle Field Camp, Graig-Llwyn, Cardiff",NA,NA,NA
2399,"Caerau Camp, Ponthir, Monmouth (Candwr Camp)",NA,NA,NA
2400,"Gaer Fawr Lower Camp, Mynydd y Gaer, Neath Port Talbot (Mynydd y Gaer (Gaer Fawr) Lower Camp)",NA,NA,NA
2401,"Fort At Craig Ty Isaf, Neath Port Talbot (Craig Ty Isaf Camp)",NA,NA,NA
2402,"Pen y Castell, Cwmafan, Neath Port Talbot",NA,NA,NA
2403,"Buarth y Gaer, Neath Port Talbot (Mynydd-y-Gaer)",NA,NA,NA
2404,"Cefn yr Argoed, Neath Port Talbot",NA,NA,NA
2405,"Llwynda'-Ddu, Cardiff (Llwynda'-Ddu Camp)",NA,NA,NA
2406,"Gaer Hill Camp, Penterry, Monmouth",NA,NA,NA
2407,"Half Moon Camp, Margam, Neath Port Talbot",NA,NA,NA
2408,"Blackfield Wood Camp, Monmouth (Porthcaseg Camp)",NA,NA,NA
2409,"Mynydd-y-Castell Camp, Margam, Neath Port Talbot",NA,NA,NA
2411,"Caer Blaen-y-Cwm, Margam, Neath Port Talbot (Caer Blaen y Cwm)",NA,NA,NA
2412,"Piercefield Great Camp, Monmouth (Pierce Wood Camp)",NA,NA,NA
2413,"Narborough Camp, Norfolk (Camphill)",NA,NA,NA
2414,"Thetford Castle, Norfolk",NA,NA,NA
2415,"Bloodgate Hill, Norfolk (Burgh Dykes; Burrow Dykes)",NA,NA,NA
2416,"Holkham, Norfolk",NA,NA,NA
2417,"Piercefield Little Camp, Monmouth (Pierce Wood Camp)",NA,NA,NA
2418,"Warham Burrows, Norfolk",NA,NA,NA
2419,"Warham Camp, Norfolk",NA,NA,NA
2420,"Tasburgh, Norfolk",NA,NA,NA
2421,"Warren Hill, Briton Ferry, Neath Port Talbot",NA,NA,NA
2422,"Castell Morlais, Merthyr Tydfil (Morlais Castle)",NA,NA,NA
2423,"Great House Camp, Monmouth",NA,NA,NA
2424,"Trellech Gaer, Monmouth (Gaer Hillfort, Trellech)",NA,NA,NA
2425,"Castell Prin, Newport",NA,NA,NA
2426,"Llanmelin Wood Camp and Llanmelin Outpost, Caerwent, Monmouth",NA,NA,NA
2427,"Craig-y-Dinas, Hirwaun, Rhondda Cynon Taff",NA,NA,NA
2428,"Gaer Fawr Camp, Llangwm, Monmouth",NA,NA,NA
2429,"Sudbrook Camp, Monmouth",NA,NA,NA
2430,"The Bulwarks, Chepstow, Monmouth (Bulwarks Camp)",NA,NA,NA
2431,"The Heugh, Detchant, Northumberland",NA,NA,NA
2432,"Ysgyryd (Skirrid) Fawr, Monmouth",NA,NA,NA
2433,"Pen Twyn, Llanfihangel Crucorney, Monmouth (Pentwyn)",NA,NA,NA
2434,"Craig Ruperra, Caerphilly (Ruperra Hillfort)",NA,NA,NA
2435,"Twyn y Gaer, Llanfihangel Crucorney, Monmouth",NA,NA,NA
2436,"Westwood Corner, Vale of Glamorgan",NA,NA,NA
2437,"Llancayo Camp, Monmouth (Campswood; Camp Wood)",NA,NA,NA
2438,"Coed y Bwnydd Camp, Monmouth (Coed-y-Bwnyff)",NA,NA,NA
2439,"Mitchel-Troy Enclosure, Monmouth",NA,NA,NA
2440,"Wighton Camp, Norfolk",NA,NA,NA
2441,"Crabb's Castle, Norfolk",NA,NA,NA
2442,"Copy's Green, Norfolk",NA,NA,NA
2443,"Tharston, Norfolk",NA,NA,NA
2444,"Dun Bhronaig, Argyll & Bute",NA,NA,NA
2445,"Dun a' Bhealaich, Argyll & Bute",NA,NA,NA
2446,"Dun a' Chogaidh, Argyll & Bute",NA,NA,NA
2447,"Dun Mor, Drimnagall, Argyll & Bute",NA,NA,NA
2448,"Dun Mhuirich, Argyll & Bute",NA,NA,NA
2449,"An Fang, Craignish Point, Argyll & Bute",NA,NA,NA
2450,"Arran, Drumadoon, The Doon, North Ayrshire",NA,NA,NA
2451,"Arran, Auchencar, North Ayrshire",NA,NA,NA
2452,"Carradale Point, Argyll & Bute (Kilbrannan Sound)",NA,NA,NA
2453,"Carradale, Argyll & Bute",NA,NA,NA
2454,"Dun Buidhe, Argyll & Bute",NA,NA,NA
2455,"Binnein Mor, Argyll & Bute",NA,NA,NA
2456,"Duntroon, Argyll & Bute",NA,NA,NA
2457,"The Knave, Rhossili, Swansea (Deborah's Hole Camp)",NA,NA,NA
2458,"Yellow Top, Paviland, Swansea (Paviland Camp)",NA,NA,NA
2459,"Maiden Castle, Oxwich, Swansea (Oxwich Point)",NA,NA,NA
2460,"Thurba Head, Swansea (Thurba Camp)",NA,NA,NA
2461,"Bruach An Drumein, Poltalloch, Argyll & Bute (Bruach An Druimein)",NA,NA,NA
2462,"Horse Cliff Camp, Swansea",NA,NA,NA
2463,"Ballygowan, Argyll & Bute (Barr a' Chuirn)",NA,NA,NA
2464,"Dun na Maraig, Argyll & Bute",NA,NA,NA
2465,"Kilmichael Glassary, Argyll & Bute (Creagan Breac)",NA,NA,NA
2466,"Dunadd, Argyll & Bute",NA,NA,NA
2467,"Arran, Creag Dhubh, North Ayrshire",NA,NA,NA
