Main_Atlas_Number,Main_Display_Name,Location_X,Location_Y,Density,Density_trans,Location_Current_County,Location_Historic_County,Location_Current_Parish
28,"Poston Camp, Herefordshire (Lower Park Wood Camp)",-326816,6806185,1.7528515141599528e-12,-1.9999973520940242,Herefordshire,Herefordshire,Vowchurch
29,"Pyon Wood, Herefordshire",-316977,6853215,1.6647750406263886e-12,-1.9999974194767658,Herefordshire,Herefordshire,Aymestrey
30,"Risbury Camp, Herefordshire",-297387,6835278,1.5605434967526797e-12,-1.9999975015656928,Herefordshire,Herefordshire,Humber
31,"Sutton Walls, Herefordshire",-299984,6820666,1.5988396554892252e-12,-1.9999974710953712,Herefordshire,Herefordshire,Sutton
32,"Timberline, Herefordshire (Timberline Camp)",-322143,6804872,1.7306595605724987e-12,-1.9999973689093056,Herefordshire,Herefordshire,Madley
33,"Uphampton Camp, Herefordshire",-292865,6840226,1.5186629115709067e-12,-1.9999975353191592,Herefordshire,Herefordshire,Docklow and Hampton Wafer
34,"Wall Hills Camp, Ledbury, Herefordshire (Wall Hills, Ledbury)",-272991,6807616,1.444471717229983e-12,-1.9999975962764576,Herefordshire,Herefordshire,Ledbury
35,"Wall Hills, Thornbury, Herefordshire",-283116,6842722,1.44077450608624e-12,-1.999997599354665,Herefordshire,Herefordshire,Thornbury
36,"Walterstone Camp, Herefordshire (Coed-y-Grafel)",-328191,6785745,1.7414195650382193e-12,-1.9999973607428583,Herefordshire,Herefordshire,Walterstone
37,"Wapley Camp, Herefordshire",-329620,6846514,1.7512867833598664e-12,-1.9999973532761508,Herefordshire,Herefordshire,Staunton on Arrow
38,"Westington Camp, Herefordshire",-291218,6837537,1.5120975936284006e-12,-1.9999975406524495,Herefordshire,Herefordshire,Grendon Bishop
39,"Abdon Burf, Shropshire",-289169,6886624,1.3574385034657235e-12,-1.9999976698167423,Shropshire,Shropshire,Abdon
40,"Billings Ring, Shropshire",-326094,6888426,1.634787816009244e-12,-1.9999974428235758,Shropshire,Shropshire,Lydbury North
41,"Blodwell Rock, Shropshire",-343879,6945890,1.4626479976042928e-12,-1.9999975812002997,Shropshire,Shropshire,Llanyblodwell
42,"Knuck Wood, Shropshire (Birches Bank)",-341448,6886239,1.726573105109284e-12,-1.9999973720174238,Shropshire,Shropshire,Mainstone
43,"Bodbury Ring, Shropshire",-313907,6899847,1.5088391729586315e-12,-1.9999975433037038,Shropshire,Shropshire,Church Stretton
44,"Bulthy Hill, Shropshire",-335920,6930747,1.5105605850956688e-12,-1.9999975419026992,Shropshire,Shropshire,Wollaston
45,"Burf Castle, Shropshire",-261707,6893802,1.1058527371120595e-12,-1.9999978968093408,Shropshire,Shropshire,Claverley
46,"Burrow Hill Camp, Shropshire (Burrow Hill)",-324004,6880457,1.6462899463415215e-12,-1.9999974338433826,Shropshire,Shropshire,Hopesay
47,"Bury Ditches, Shropshire",-332961,6881432,1.697615540447009e-12,-1.9999973941484765,Shropshire,Shropshire,Lydbury North
48,"Bury Walls, Shropshire",-292732,6954166,1.0891531969625844e-12,-1.999997912749946,Shropshire,Shropshire,Weston-under-Redcastle
49,"Caer Caradoc, Clun, Shropshire (Caer Caradoc, Chapel Lawn; Gaer Ditches)",-335610,6868368,1.7454472673697593e-12,-1.9999973576924726,Shropshire,Shropshire,Clun
50,"Caer Caradoc, Church Stretton, Shropshire",-308622,6900705,1.464900031115022e-12,-1.9999975793389075,Shropshire,Shropshire,Church Stretton
51,"Caerbre, Shropshire (Chirbury)",-341893,6902184,1.6722707811643383e-12,-1.999997413673817,Shropshire,Shropshire,Chirbury with Brompton
52,"Caer-Din Ring, Shropshire (Caer Din Ring)",-347194,6883375,1.7598724303865832e-12,-1.9999973467963286,Shropshire,Shropshire,Clun
53,"Calcot Camp, Shropshire",-341983,6901390,1.6758050294086158e-12,-1.9999974109422336,Shropshire,Shropshire,Chirbury with Brompton
