Main_Atlas_Number,Main_Display_Name
209,"Duniewick, South Ayrshire"
210,"Doon of May, Dumfries & Galloway"
211,"Garliachen, Laigh Sinniness, Dumfries & Galloway"
212,"Bennan of Garvilland, Dumfries & Galloway"
213,"Maxwellston Hill, South Ayrshire"
214,"Enoch, South Ayrshire"
215,"Back Bay, Dumfries & Galloway"
216,"Laggan Camp, Dumfries & Galloway"
217,"Killantrae Bridge, Dumfries & Galloway (Killentrae Bridge)"
218,"Fell of Barhullion, Dumfries & Galloway"
219,"Barsalloch Point, Dumfries & Galloway (Barsalloch Fort)"
220,"Doon Hill, Boreland, Dumfries & Galloway"
221,"Doon Hill, Capenoch Croft, Dumfries & Galloway (Doon Fort)"
222,"Barnkirk Hill, Dumfries & Galloway"
223,"Drummoral, Dumfries & Galloway"
224,"Cairnhead Mote, Dumfries & Galloway"
225,"Steinhead Mote, Dumfries & Galloway"
226,"Isle Head, Dumfries & Galloway (Isle of Whithorn)"
227,"Court Hill, High Skeog, Dumfries & Galloway"
228,"Glasserton Hill, Dumfries & Galloway"
229,"Carghidown Castle, Dumfries & Galloway"
230,"Burrow Head, Dumfries & Galloway"
231,"Burrow Head, Dumfries & Galloway"
232,"Castle Feather, Dumfries & Galloway (Burrow Head)"
233,"Eggerness Castle, Dumfries & Galloway"
234,"Dinnans, Dumfries & Galloway"
235,"Dinnans, Dumfries & Galloway ('Old Fort')"
236,"Doon of Carsluith, Dumfries & Galloway"
237,"North Balfern, Dumfries & Galloway (Ring Hill)"
238,"Baldoon Hill, Dumfries & Galloway"
239,"Parliament Knowe, Dumfries & Galloway"
240,"Barn Heugh, Dumfries & Galloway"
241,"Trusty's Hill, Anwoth, Dumfries & Galloway"
242,"Boreland Wood, Dumfries & Galloway (Boreland of Girthon)"
243,"Court Knowe, High Auchenlarie, Dumfries & Galloway"
244,"Drummore Castle, Dumfries & Galloway (Castle Hill)"
245,"Doon Wood, Dumfries & Galloway"
246,"Muncraig Heugh, Dumfries & Galloway (Doo Cave)"
247,"Borness Batteries, Dumfries & Galloway"
248,"Manxman's Rock, Dumfries & Galloway (Fort)"
249,"Doon Hill, Dumfries & Galloway"
250,"Arden, Dumfries & Galloway (Campbelltown Mote)"
251,"The Doon, Twynholm, Dumfries & Galloway"
252,"Castle Hill, Dumfries & Galloway"
253,"Carse Mote, Dumfries & Galloway"
254,"Castle Hill, Dumfries & Galloway (Cumstounend, Compstonend)"
255,"Kirkchrist Mote, Dumfries & Galloway"
256,"Kirkland Fort, Dumfries & Galloway"
257,"Hell's Hole, Dumfries & Galloway"
258,"Conchieton Doon, Dumfries & Galloway (Conchieton, The Doon; Doon Hill)"
